names,scores,logfoldchanges,pvals,pvals_adj
ISG15,16.021614,58.397846,9.027477012264213e-58,2.0446850200109616e-53
IFITM3,15.984363,50.3232,1.6423832443158052e-57,2.0446850200109616e-53
TAOK1,15.525002,9.069777,2.349989517457906e-54,1.9504129665061466e-50
IFITM1,15.41066,21.648132,1.387868045112725e-53,8.639131613815433e-50
KLF6,14.979441,17.16225,1.000559765802425e-50,4.512688828029717e-47
SAT1,14.973906,62.825726,1.0874385705521628e-50,4.512688828029717e-47
CCL2,14.950135,148.2067,1.5543235428117097e-50,5.528728841781251e-47
IFITM2,14.63485,12.287404,1.683487980400485e-48,5.2396459029989595e-45
IFIT3,14.493395,19.361311,1.3338360595663185e-47,3.6901315607935295e-44
RSAD2,14.442586,21.90934,2.791668764186793e-47,6.950976055948696e-44
H3F3B,14.28182,24.162699,2.840829782571421e-46,6.4303473414768915e-43
TYMP,14.236792,22.543901,5.415696523602984e-46,1.1237118978432559e-42
IL1RN,14.193931,26.534277,9.98989439604947e-46,1.913372158209506e-42
ISG20,14.101816,13.073085,3.701223555195476e-45,6.293787780453649e-42
SRGN,14.100114,25.438412,3.7915906946786916e-45,6.293787780453649e-42
BCL2A1,14.0118685,14.334521,1.3188853856931412e-44,2.052432951148345e-41
IFIT2,13.977347,21.219458,2.1432967980794243e-44,3.05518731832906e-41
RNF213,13.9728775,10.286999,2.2821725533822143e-44,3.05518731832906e-41
SOD2,13.971358,16.288568,2.3313610606149703e-44,3.05518731832906e-41
MX1,13.832183,14.584768,1.6299896143922243e-43,2.0292555704376e-40
GBP1,13.826084,13.620139,1.7741962183250002e-43,2.1036053161940085e-40
CTSL,13.792505,38.482613,2.82766571635471e-43,3.2002749396143602e-40
IFI30,13.660273,14.549971,1.7532622161343726e-42,1.898020692153467e-39
MT2A,13.594131,39.798264,4.3387906858790666e-42,4.5013145536542866e-39
IRF7,13.51801,9.375698,1.224427229224945e-41,1.2194805432188762e-38
IFIT1,13.493335,14.204575,1.7117967873648926e-41,1.6319227409460164e-38
CTSB,13.490886,36.364155,1.7696258486502445e-41,1.6319227409460164e-38
ACTB,13.454392,79.87769,2.9011506008687243e-41,2.579848171822513e-38
CXCL10,13.3934555,65.11694,6.603513671794868e-41,5.669685755655876e-38
MT-ATP8,13.376202,13.552314,8.329702822550883e-41,6.91337568595648e-38
APOBEC3A,13.35504,44.828053,1.1069856178880295e-40,8.891237064449692e-38
CCL3,13.306105,27.941236,2.1331616238938543e-40,1.6597997272916586e-37
HLA-E,13.288323,10.990202,2.7057219740894017e-40,2.0415082252379397e-37
NAMPT,13.264542,8.950876,3.71685490457527e-40,2.7219403020299898e-37
